country_name_qog,iso3c,ethnic_frac
Papua New Guinea,PNG,1
Paraguay,PRY,0.13220000267028809
Peru,PER,0.6378999948501587
Philippines (the),PHL,0.16075396537780762
Poland,POL,0.04725497961044311
Portugal,PRT,0.0395999550819397
Guinea-Bissau,GNB,0.8177000284194946
Timor-Leste,TLS,NA
Qatar,QAT,NA
Romania,ROU,0.2997610569000244
Russian Federation (the),RUS,0.33299797773361206
Rwanda,RWA,0.18000006675720215
Saint Kitts and Nevis,KNA,NA
Saint Lucia,LCA,NA
Saint Vincent and the Grenadines,VCT,NA
San Marino,SMR,NA
Sao Tome and Principe,STP,NA
Saudi Arabia,SAU,0.5530999898910522
Senegal,SEN,0.7274999618530273
Serbia,SRB,NA
Seychelles,SYC,NA
Sierra Leone,SLE,0.763996958732605
Singapore,SGP,0.3878620266914368
Slovakia,SVK,0.33151400089263916
Viet Nam,VNM,0.2327370047569275
Slovenia,SVN,0.23112303018569944
Somalia,SOM,0.8116999864578247
South Africa,ZAF,0.8795750141143799
Zimbabwe,ZWE,0.3662000298500061
Spain,ESP,0.502161979675293
South Sudan,SSD,NA
Sudan (the),SDN,NA
Suriname,SUR,NA
Eswatini,SWZ,0.2795500159263611
Sweden,SWE,0.1894710659980774
Switzerland,CHE,0.5751650333404541
Syrian Arab Republic (the),SYR,0.5806000232696533
Tajikistan,TJK,0.5134340524673462
Thailand,THA,0.4313749670982361
Togo,TGO,0.8832570314407349
Tonga,TON,NA
Trinidad and Tobago,TTO,0.6469190120697021
United Arab Emirates (the),ARE,0.7373000383377075
Tunisia,TUN,0.03945595026016235
Turkey,TUR,0.2985039949417114
Turkmenistan,TKM,0.3918360471725464
Tuvalu,TUV,NA
Uganda,UGA,0.9296979904174804
Ukraine,UKR,0.4185999631881714
North Macedonia,MKD,0.5348999500274658
Egypt,EGY,0.1637999415397644
United Kingdom of Great Britain and Northern Ireland (the),GBR,0.3244873881340027
"Tanzania, the United Republic of",TZA,0.9525750279426576
United States of America (the),USA,0.4909570217132568
Burkina Faso,BFA,0.7038329839706421
Uruguay,URY,0.2175999879837036
Uzbekistan,UZB,0.4847750067710877
Venezuela (Bolivarian Republic of),VEN,0.48327499628067017
Samoa,WSM,NA
Yemen,YEM,0.07840001583099365
Zambia,ZMB,0.7258000373840332
Marshall Islands,MHL,NA
